from_stop_id, to_stop_id, transfer_type, min_transfer_time
12228,12205,2,239
12221,12205,2,239
13190,99192,2,179
13190,13191,2,59
12218,12205,2,239
12217,12205,2,239
12216,12205,2,239
12215,12205,2,239
12214,12205,2,239
12213,12205,2,239
12212,12205,2,239
12211,12205,2,239
12210,12205,2,239
12209,12205,2,239
12208,12205,2,239
13190,13189,2,59
12199,12205,2,239
12198,12205,2,239
12197,12205,2,239
12196,12205,2,239
12195,12205,2,239
13190,13192,2,59
13190,23696,2,59
12223,12204,2,239
12224,12204,2,239
12225,12204,2,239
12226,12204,2,239
12227,12204,2,239
12228,12204,2,239
12221,12204,2,239
13189,99191,2,239
13189,99192,2,239
12218,12204,2,239
12217,12204,2,239
12216,12204,2,239
12215,12204,2,239
12214,12204,2,239
12213,12204,2,239
12212,12204,2,239
12211,12204,2,239
12210,12204,2,239
12209,12204,2,239
12208,12204,2,239
13189,13191,2,59
12199,12204,2,239
12198,12204,2,239
12197,12204,2,239
12196,12204,2,239
12195,12204,2,239
13189,13190,2,59
13189,13192,2,59
12223,12203,2,239
12224,12203,2,239
12225,12203,2,239
12226,12203,2,239
12227,12203,2,239
12228,12203,2,239
12221,12203,2,239
13189,23696,2,59
13192,99191,2,239
12218,12203,2,239
12217,12203,2,239
12216,12203,2,239
12215,12203,2,239
12214,12203,2,239
12213,12203,2,239
12212,12203,2,239
12211,12203,2,239
12210,12203,2,239
12209,12203,2,239
12208,12203,2,239
13192,99192,2,239
12199,12203,2,239
12198,12203,2,239
12197,12203,2,239
12196,12203,2,239
12195,12203,2,239
13192,13191,2,59
13192,13190,2,59
12223,12202,2,239
12224,12202,2,239
12225,12202,2,239
12226,12202,2,239
12227,12202,2,239
12228,12202,2,239
12221,12202,2,239
13192,13189,2,59
13192,23696,2,59
12218,12202,2,239
12217,12202,2,239
12216,12202,2,239
12215,12202,2,239
12214,12202,2,239
12213,12202,2,239
12212,12202,2,239
12211,12202,2,239
12210,12202,2,239
12209,12202,2,239
12208,12202,2,239
23696,99191,2,239
12199,12202,2,239
12198,12202,2,239
12197,12202,2,239
12196,12202,2,239
12195,12202,2,239
23696,99192,2,239
23696,13191,2,59
12223,12201,2,239
12224,12201,2,239
12225,12201,2,239
12226,12201,2,239
12227,12201,2,239
12228,12201,2,239
12221,12201,2,239
23696,13190,2,59
23696,13189,2,59
12218,12201,2,239
12217,12201,2,239
12216,12201,2,239
12215,12201,2,239
12214,12201,2,239
12213,12201,2,239
12212,12201,2,239
12211,12201,2,239
12210,12201,2,239
12209,12201,2,239
12208,12201,2,239
23696,13192,2,59
12199,12201,2,239
12198,12201,2,239
12197,12201,2,239
12196,12201,2,239
12195,12201,2,239
10119,10118,2,59
10119,10122,2,59
10119,10121,2,59
10119,10090,2,179
10119,10089,2,179
10118,10119,2,59
10118,10122,2,59
10118,10121,2,59
10118,10090,2,179
10118,10089,2,179
10122,10119,2,59
10122,10118,2,59
10122,10121,2,59
10122,10090,2,239
10122,10089,2,239
10121,10119,2,59
10121,10118,2,59
10121,10122,2,59
10121,10090,2,179
10121,10089,2,179
10090,10089,2,59
10090,10119,2,179
10090,10118,2,179
10090,10122,2,239
99191,99192,2,0
6,6,2,180
39,39,2,180
43,43,2,180
73,73,2,239
14507,10140,2,239
82,82,2,180
83,83,2,180
84,84,2,180
14507,10070,2,180
86,86,2,180
87,87,2,180
88,88,2,180
89,89,2,180
90,90,2,180
91,91,2,180
92,92,2,180
93,93,2,180
94,94,2,180
95,95,2,180
98,98,2,180
100,100,2,180
101,101,2,180
102,102,2,180
133,133,2,180
97,97,2,180
14507,10141,2,239
14507,10142,2,239
14507,10143,2,239
12223,12199,2,239
12224,12199,2,239
12225,12199,2,239
12226,12199,2,239
12227,12199,2,239
12228,12199,2,239
12221,12199,2,239
10140,10070,2,180
10140,10141,2,120
12218,12199,2,239
12217,12199,2,239
12216,12199,2,239
12215,12199,2,239
12214,12199,2,239
12213,12199,2,239
12212,12199,2,239
12211,12199,2,239
12210,12199,2,239
12209,12199,2,239
12208,12199,2,239
12207,12199,2,239
12206,12199,2,239
12205,12199,2,239
12204,12199,2,239
12203,12199,2,239
12202,12199,2,239
12201,12199,2,239
10140,10142,2,120
12223,12198,2,239
12224,12198,2,239
12225,12198,2,239
12226,12198,2,239
12227,12198,2,239
12228,12198,2,239
12221,12198,2,239
10140,10143,2,120
10140,14507,2,239
12218,12198,2,239
12217,12198,2,239
12216,12198,2,239
12215,12198,2,239
12214,12198,2,239
12213,12198,2,239
12212,12198,2,239
12211,12198,2,239
12210,12198,2,239
12209,12198,2,239
12208,12198,2,239
12207,12198,2,239
12206,12198,2,239
12205,12198,2,239
12204,12198,2,239
12203,12198,2,239
12202,12198,2,239
12201,12198,2,239
10070,10140,2,180
12223,12197,2,239
12224,12197,2,239
12225,12197,2,239
12226,12197,2,239
12227,12197,2,239
12228,12197,2,239
12221,12197,2,239
10070,14507,2,180
10070,10141,2,180
12218,12197,2,239
12217,12197,2,239
12216,12197,2,239
12215,12197,2,239
12214,12197,2,239
12213,12197,2,239
12212,12197,2,239
12211,12197,2,239
12210,12197,2,239
12209,12197,2,239
12208,12197,2,239
12207,12197,2,239
12206,12197,2,239
12205,12197,2,239
12204,12197,2,239
12203,12197,2,239
12202,12197,2,239
12201,12197,2,239
10070,10142,2,180
12223,12196,2,239
12224,12196,2,239
12225,12196,2,239
12226,12196,2,239
12227,12196,2,239
12228,12196,2,239
12221,12196,2,239
10070,10143,2,180
10141,10140,2,120
12218,12196,2,239
12217,12196,2,239
12216,12196,2,239
12215,12196,2,239
12214,12196,2,239
12213,12196,2,239
12212,12196,2,239
12211,12196,2,239
12210,12196,2,239
12209,12196,2,239
12208,12196,2,239
12207,12196,2,239
12206,12196,2,239
12205,12196,2,239
12204,12196,2,239
12203,12196,2,239
12202,12196,2,239
12201,12196,2,239
10141,10070,2,180
12223,12195,2,239
12224,12195,2,239
12225,12195,2,239
12226,12195,2,239
12227,12195,2,239
12228,12195,2,239
12221,12195,2,239
10141,14507,2,239
10141,10142,2,120
12218,12195,2,239
12217,12195,2,239
12216,12195,2,239
12215,12195,2,239
12214,12195,2,239
12213,12195,2,239
12212,12195,2,239
12211,12195,2,239
12210,12195,2,239
12209,12195,2,239
12208,12195,2,239
12207,12195,2,239
12206,12195,2,239
12205,12195,2,239
12204,12195,2,239
12203,12195,2,239
12202,12195,2,239
12201,12195,2,239
10141,10143,2,120
10142,10140,2,120
10142,10070,2,180
10142,10141,2,120
10142,14507,2,239
10142,10143,2,120
10143,10140,2,120
10143,10070,2,180
10143,10141,2,120
10143,10142,2,120
10143,14507,2,239
27092,27180,2,179
27092,27181,2,179
27092,27182,2,179
27092,27183,2,179
27092,27184,2,179
27092,27185,2,179
27092,27171,2,179
27092,27172,2,179
27092,27173,2,179
27092,27174,2,179
27092,27175,2,179
27092,27179,2,239
27092,27176,2,239
27092,27177,2,239
27092,27178,2,239
27171,27092,2,179
27171,27179,2,179
136,135,2,299
135,136,2,299
27171,27180,2,179
27171,27181,2,179
27171,27182,2,179
27171,27183,2,179
27171,27184,2,179
27171,27185,2,179
27171,27172,2,179
27171,27173,2,179
27171,27174,2,179
27171,27175,2,179
27171,27176,2,239
27171,27177,2,239
27171,27178,2,239
27172,27092,2,179
27172,27179,2,179
27172,27180,2,179
27172,27181,2,179
27172,27182,2,179
27172,27183,2,179
27172,27184,2,179
27172,27185,2,179
27172,27171,2,179
27172,27173,2,179
27172,27174,2,179
27172,27175,2,179
27172,27176,2,179
27172,27177,2,179
27172,27178,2,179
27173,27092,2,179
27173,27179,2,179
27173,27180,2,179
27173,27181,2,179
27173,27182,2,179
27173,27183,2,179
27173,27184,2,179
27173,27185,2,179
27173,27171,2,179
27173,27172,2,179
27173,27174,2,179
27173,27175,2,179
27173,27176,2,179
27173,27177,2,179
27173,27178,2,179
27174,27092,2,179
27174,27179,2,179
27174,27180,2,179
27174,27181,2,179
27174,27182,2,179
27174,27183,2,179
27174,27184,2,179
27174,27185,2,179
27174,27171,2,179
27174,27172,2,179
27174,27173,2,179
27174,27175,2,179
27174,27176,2,179
27174,27177,2,179
27174,27178,2,179
27175,27092,2,179
27175,27179,2,179
27175,27180,2,179
27175,27181,2,179
27175,27182,2,179
27175,27183,2,179
27175,27184,2,179
27175,27185,2,179
27175,27171,2,179
27175,27172,2,179
27175,27173,2,179
27175,27174,2,179
27175,27176,2,179
27175,27177,2,179
27175,27178,2,179
27176,27179,2,179
27176,27180,2,179
27176,27181,2,179
27176,27182,2,179
27176,27183,2,179
27176,27172,2,179
27176,27173,2,179
27176,27174,2,179
27176,27175,2,179
27176,27177,2,179
27176,27178,2,179
27176,27092,2,239
85,85,2,120
23794,24012,2,60
23794,26695,2,60
99009,99906,2,239
99009,99007,2,239
99009,99005,2,299
99009,99004,2,299
23794,26696,2,60
23794,26697,2,60
99908,99906,2,239
99908,99007,2,239
99908,99005,2,239
99908,99004,2,239
23794,26698,2,60
23794,26699,2,60
23794,99711,2,240
23794,99712,2,240
24012,23794,2,60
24012,26695,2,60
99906,99009,2,239
99906,99908,2,239
99906,99005,2,239
99906,99004,2,239
24012,26696,2,60
99007,99009,2,239
99007,99908,2,239
99007,99005,2,239
99007,99004,2,239
24012,26697,2,60
24012,26698,2,60
99005,99906,2,239
99005,99007,2,239
99005,99009,2,239
99005,99908,2,239
24012,26699,2,60
99004,99906,2,239
99004,99007,2,239
99004,99009,2,239
99004,99908,2,239
24012,99711,2,240
24012,99712,2,240
26695,23794,2,60
26695,24012,2,60
26695,26696,2,60
26695,26697,2,60
26695,26698,2,60
26695,26699,2,60
26695,99711,2,240
26695,99712,2,240
26696,23794,2,60
26696,24012,2,60
26696,26695,2,60
26696,26697,2,60
26696,26698,2,60
26696,26699,2,60
26696,99711,2,240
26696,99712,2,240
26697,23794,2,60
26697,24012,2,60
26697,26695,2,60
26697,26696,2,60
26697,26698,2,60
26697,26699,2,60
26697,99711,2,240
26697,99712,2,240
26698,23794,2,60
26698,24012,2,60
26698,26695,2,60
26698,26696,2,60
26698,26697,2,60
26698,26699,2,60
26698,99711,2,240
26698,99712,2,240
26699,23794,2,60
26699,24012,2,60
26699,26695,2,60
26699,26696,2,60
26699,26697,2,60
26699,26698,2,60
26699,99711,2,240
26699,99712,2,240
99711,23794,2,240
99711,24012,2,240
99711,26695,2,240
99711,26696,2,240
99711,26697,2,240
99711,26698,2,240
99711,26699,2,240
99711,99712,2,60
99712,23794,2,240
99712,24012,2,240
99712,26695,2,240
99712,26696,2,240
99712,26697,2,240
99712,26698,2,240
99712,26699,2,240
99712,99711,2,60
11968,11969,2,239
11968,23845,2,119
11968,23846,2,179
11968,99631,2,179
11968,99632,2,179
11969,11968,2,239
11969,23845,2,299
11969,23846,2,119
11969,99631,2,239
11969,99632,2,239
23845,11968,2,119
23845,11969,2,299
23845,23846,2,179
23845,99631,2,179
23845,99632,2,179
23846,11968,2,179
23846,11969,2,119
23846,23845,2,179
23846,99631,2,179
23846,99632,2,179
99631,11968,2,179
99631,11969,2,239
99631,23845,2,179
99631,23846,2,179
99632,11968,2,179
99632,11969,2,239
99632,23845,2,179
99632,23846,2,179
27176,27171,2,239
27176,27184,2,179
27176,27185,2,239
27177,27179,2,179
27177,27180,2,179
27177,27181,2,179
27177,27182,2,179
27177,27183,2,179
27177,27172,2,179
27177,27173,2,179
27177,27174,2,179
27177,27175,2,179
27177,27176,2,179
27177,27178,2,179
27177,27092,2,239
27177,27184,2,239
27177,27185,2,239
27177,27171,2,239
27178,27179,2,179
27178,27180,2,179
27178,27181,2,179
27178,27182,2,179
27178,27183,2,179
27178,27172,2,179
27178,27173,2,179
27178,27174,2,179
27178,27175,2,179
27178,27176,2,179
27178,27177,2,179
27178,27092,2,239
27178,27184,2,239
27178,27185,2,239
27178,27171,2,239
27179,27180,2,179
27179,27181,2,179
27179,27182,2,179
27179,27183,2,179
27179,27184,2,179
27179,27171,2,179
27179,27172,2,179
27179,27173,2,179
27179,27174,2,179
27179,27175,2,179
27179,27176,2,179
27179,27177,2,179
27179,27178,2,179
27179,27092,2,239
27179,27185,2,239
27180,27092,2,179
27180,27179,2,179
27180,27181,2,179
27180,27182,2,179
27180,27183,2,179
27180,27184,2,179
27180,27185,2,179
27180,27171,2,179
27180,27172,2,179
27180,27173,2,179
27180,27174,2,179
27180,27175,2,179
27180,27176,2,179
27180,27177,2,179
27180,27178,2,179
27181,27092,2,179
27181,27179,2,179
27181,27180,2,179
27181,27182,2,179
27181,27183,2,179
27181,27184,2,179
27181,27185,2,179
27181,27171,2,179
27181,27172,2,179
27181,27173,2,179
27181,27174,2,179
27181,27175,2,179
27181,27176,2,179
27181,27177,2,179
27181,27178,2,179
27182,27092,2,179
27182,27179,2,179
27182,27180,2,179
27182,27181,2,179
27182,27183,2,179
27182,27184,2,179
27182,27185,2,179
27182,27171,2,179
27182,27172,2,179
27182,27173,2,179
27182,27174,2,179
27182,27175,2,179
27182,27176,2,179
27182,27177,2,179
27182,27178,2,179
27183,27092,2,179
27183,27179,2,179
27183,27180,2,179
27183,27181,2,179
27183,27182,2,179
27183,27184,2,179
27183,27185,2,179
27183,27171,2,179
27183,27172,2,179
27183,27173,2,179
27183,27174,2,179
27183,27175,2,179
27183,27176,2,179
27183,27177,2,179
27183,27178,2,179
27184,27092,2,179
27184,27179,2,179
27184,27180,2,179
27184,27181,2,179
27184,27182,2,179
27184,27183,2,179
27184,27185,2,179
27184,27171,2,179
27184,27172,2,179
27184,27173,2,179
27184,27174,2,179
27184,27175,2,179
27184,27176,2,239
27184,27177,2,239
27184,27178,2,239
27185,27092,2,179
27185,27180,2,179
27185,27181,2,179
27185,27182,2,179
27185,27183,2,179
27185,27184,2,179
27185,27171,2,179
27185,27172,2,179
27185,27173,2,179
27185,27174,2,179
27185,27175,2,179
27185,27179,2,239
27185,27176,2,239
27185,27177,2,239
27185,27178,2,239
10080,10081,2,59
10080,10082,2,119
10080,10128,2,239
10080,10129,2,239
10080,10130,2,239
10080,10132,2,239
10080,10131,2,239
10081,10080,2,59
10081,10082,2,119
10081,10128,2,239
10081,10129,2,239
10081,10130,2,239
10081,10132,2,239
10081,10131,2,239
10082,10080,2,119
10082,10081,2,119
10082,10128,2,239
10082,10129,2,239
10082,10130,2,239
10082,10131,2,299
10128,10129,2,59
10128,10130,2,119
10128,10080,2,239
10128,10081,2,239
10128,10082,2,239
10128,10079,2,239
10128,10078,2,239
10129,10130,2,59
10129,10128,2,59
10129,10080,2,239
10129,10081,2,239
10129,10082,2,239
10129,10079,2,239
10129,10078,2,239
10130,10129,2,59
10130,10128,2,119
10130,10080,2,239
10130,10081,2,239
10130,10082,2,239
10130,10079,2,239
10130,10078,2,239
10079,10078,2,59
10079,10131,2,239
10079,10132,2,239
10079,10128,2,239
10079,10129,2,239
10079,10130,2,239
12221,12223,2,239
10078,10079,2,59
10078,10131,2,239
12218,12223,2,239
12217,12223,2,239
12216,12223,2,239
12215,12223,2,239
12214,12223,2,239
12213,12223,2,239
12212,12223,2,239
12211,12223,2,239
12210,12223,2,239
12209,12223,2,239
12208,12223,2,239
12207,12223,2,239
12206,12223,2,239
12205,12223,2,239
12204,12223,2,239
12203,12223,2,239
12202,12223,2,239
12201,12223,2,239
10078,10132,2,239
12199,12223,2,239
12198,12223,2,239
12197,12223,2,239
12196,12223,2,239
12195,12223,2,239
10078,10128,2,239
12221,12224,2,239
10078,10129,2,239
10078,10130,2,239
12218,12224,2,239
12217,12224,2,239
12216,12224,2,239
12215,12224,2,239
12214,12224,2,239
12213,12224,2,239
12212,12224,2,239
12211,12224,2,239
12210,12224,2,239
12209,12224,2,239
12208,12224,2,239
12207,12224,2,239
12206,12224,2,239
12205,12224,2,239
12204,12224,2,239
12203,12224,2,239
12202,12224,2,239
12201,12224,2,239
10132,10131,2,59
12199,12224,2,239
12198,12224,2,239
12197,12224,2,239
12196,12224,2,239
12195,12224,2,239
10132,10078,2,239
12221,12225,2,239
10132,10080,2,239
12218,12225,2,239
12217,12225,2,239
12216,12225,2,239
12215,12225,2,239
12214,12225,2,239
12213,12225,2,239
12212,12225,2,239
12211,12225,2,239
12210,12225,2,239
12209,12225,2,239
12208,12225,2,239
12207,12225,2,239
12206,12225,2,239
12205,12225,2,239
12204,12225,2,239
12203,12225,2,239
12202,12225,2,239
12201,12225,2,239
10132,10081,2,239
12199,12225,2,239
12198,12225,2,239
12197,12225,2,239
12196,12225,2,239
12195,12225,2,239
10132,10082,2,299
12221,12226,2,239
10131,10132,2,59
10131,10079,2,239
12218,12226,2,239
12217,12226,2,239
12216,12226,2,239
12215,12226,2,239
12214,12226,2,239
12213,12226,2,239
12212,12226,2,239
12211,12226,2,239
12210,12226,2,239
12209,12226,2,239
12208,12226,2,239
12207,12226,2,239
12206,12226,2,239
12205,12226,2,239
12204,12226,2,239
12203,12226,2,239
12202,12226,2,239
12201,12226,2,239
12199,12226,2,239
12198,12226,2,239
12197,12226,2,239
12196,12226,2,239
12195,12226,2,239
10131,10080,2,239
12221,12227,2,239
10131,10081,2,239
10131,10082,2,299
12218,12227,2,239
12217,12227,2,239
12216,12227,2,239
12215,12227,2,239
12214,12227,2,239
12213,12227,2,239
12212,12227,2,239
12211,12227,2,239
12210,12227,2,239
12209,12227,2,239
12208,12227,2,239
12207,12227,2,239
12206,12227,2,239
12205,12227,2,239
12204,12227,2,239
12203,12227,2,239
12202,12227,2,239
12201,12227,2,239
10075,10076,2,59
12199,12227,2,239
12198,12227,2,239
12197,12227,2,239
12196,12227,2,239
12195,12227,2,239
10075,10134,2,179
12221,12228,2,239
10075,10133,2,179
10076,10075,2,59
12218,12228,2,239
12217,12228,2,239
12216,12228,2,239
12215,12228,2,239
12214,12228,2,239
12213,12228,2,239
12212,12228,2,239
12211,12228,2,239
12210,12228,2,239
12209,12228,2,239
12208,12228,2,239
12207,12228,2,239
12206,12228,2,239
12205,12228,2,239
12204,12228,2,239
12203,12228,2,239
12202,12228,2,239
12201,12228,2,239
10076,10134,2,179
12199,12228,2,239
12198,12228,2,239
12197,12228,2,239
12196,12228,2,239
12195,12228,2,239
10076,10133,2,179
10133,10134,2,59
12223,12221,2,239
12224,12221,2,239
12225,12221,2,239
12226,12221,2,239
12227,12221,2,239
12228,12221,2,239
12214,12221,2,239
12213,12221,2,239
12212,12221,2,239
12211,12221,2,239
12210,12221,2,239
12209,12221,2,239
12208,12221,2,239
12207,12221,2,239
12206,12221,2,239
12205,12221,2,239
12204,12221,2,239
12203,12221,2,239
12202,12221,2,239
12201,12221,2,239
10133,10076,2,179
12199,12221,2,239
12198,12221,2,239
12197,12221,2,239
12196,12221,2,239
12195,12221,2,239
10133,10075,2,179
10134,10133,2,59
10134,10076,2,179
10134,10075,2,179
10086,10087,2,59
10086,10085,2,59
10086,10084,2,119
10086,10124,2,119
10086,10126,2,119
10086,10123,2,119
10087,10086,2,59
10087,10085,2,59
10087,10084,2,119
10087,10124,2,119
10087,10126,2,179
10087,10123,2,119
10085,10086,2,59
10085,10087,2,59
10085,10084,2,59
10085,10124,2,119
10085,10126,2,119
10085,10123,2,119
10084,10086,2,119
10084,10087,2,119
10084,10085,2,59
10084,10124,2,179
10084,10126,2,119
10084,10123,2,179
10124,10126,2,59
10124,10123,2,59
10124,10086,2,119
10124,10087,2,119
10124,10085,2,119
10124,10084,2,179
10126,10124,2,59
10126,10123,2,119
10126,10086,2,119
10126,10087,2,179
10126,10085,2,119
10126,10084,2,119
10123,10124,2,59
10123,10126,2,119
10123,10086,2,119
10123,10087,2,119
10123,10085,2,119
10123,10084,2,179
10090,10121,2,179
10089,10090,2,59
10089,10119,2,179
10089,10118,2,179
10089,10122,2,239
10089,10121,2,179
10082,10132,2,299
56,64,2,300
64,56,2,300
99601,99601,2,0
99612,99612,2,0
99908,99908,2,0
99007,99007,2,0
99,99,2,180
96,96,2,180
12223,12218,2,239
12224,12218,2,239
12225,12218,2,239
12226,12218,2,239
12227,12218,2,239
12228,12218,2,239
12214,12218,2,239
12213,12218,2,239
12212,12218,2,239
12211,12218,2,239
12210,12218,2,239
12209,12218,2,239
12208,12218,2,239
12207,12218,2,239
12206,12218,2,239
12205,12218,2,239
12204,12218,2,239
12203,12218,2,239
12202,12218,2,239
12201,12218,2,239
12199,12218,2,239
12198,12218,2,239
12197,12218,2,239
12196,12218,2,239
12195,12218,2,239
12223,12217,2,239
12224,12217,2,239
12225,12217,2,239
12226,12217,2,239
12227,12217,2,239
12228,12217,2,239
12214,12217,2,239
12213,12217,2,239
12212,12217,2,239
12211,12217,2,239
12210,12217,2,239
12209,12217,2,239
12208,12217,2,239
12207,12217,2,239
12206,12217,2,239
12205,12217,2,239
12204,12217,2,239
12203,12217,2,239
12202,12217,2,239
12201,12217,2,239
12199,12217,2,239
12198,12217,2,239
12197,12217,2,239
12196,12217,2,239
12195,12217,2,239
12223,12216,2,239
12224,12216,2,239
12225,12216,2,239
12226,12216,2,239
12227,12216,2,239
12228,12216,2,239
12214,12216,2,239
12213,12216,2,239
12212,12216,2,239
12211,12216,2,239
12210,12216,2,239
12209,12216,2,239
12208,12216,2,239
12207,12216,2,239
12206,12216,2,239
12205,12216,2,239
12204,12216,2,239
12203,12216,2,239
12202,12216,2,239
12201,12216,2,239
12199,12216,2,239
12198,12216,2,239
12197,12216,2,239
12196,12216,2,239
12195,12216,2,239
12223,12215,2,239
12224,12215,2,239
12225,12215,2,239
12226,12215,2,239
12227,12215,2,239
12228,12215,2,239
12214,12215,2,239
12213,12215,2,239
12212,12215,2,239
12211,12215,2,239
12210,12215,2,239
12209,12215,2,239
12208,12215,2,239
12207,12215,2,239
12206,12215,2,239
12205,12215,2,239
12204,12215,2,239
12203,12215,2,239
12202,12215,2,239
12201,12215,2,239
12199,12215,2,239
12198,12215,2,239
12197,12215,2,239
12196,12215,2,239
12195,12215,2,239
12223,12214,2,239
12224,12214,2,239
12225,12214,2,239
12226,12214,2,239
12227,12214,2,239
12228,12214,2,239
12221,12214,2,239
12218,12214,2,239
12217,12214,2,239
12216,12214,2,239
12215,12214,2,239
12207,12214,2,239
12206,12214,2,239
12205,12214,2,239
12204,12214,2,239
12203,12214,2,239
12202,12214,2,239
12201,12214,2,239
12199,12214,2,239
12198,12214,2,239
12197,12214,2,239
12196,12214,2,239
12195,12214,2,239
12223,12213,2,239
12224,12213,2,239
12225,12213,2,239
12226,12213,2,239
12227,12213,2,239
12228,12213,2,239
12221,12213,2,239
12218,12213,2,239
12217,12213,2,239
12216,12213,2,239
12215,12213,2,239
12207,12213,2,239
12206,12213,2,239
12205,12213,2,239
12204,12213,2,239
12203,12213,2,239
12202,12213,2,239
12201,12213,2,239
12199,12213,2,239
12198,12213,2,239
12197,12213,2,239
12196,12213,2,239
12195,12213,2,239
12223,12212,2,239
12224,12212,2,239
12225,12212,2,239
12226,12212,2,239
12227,12212,2,239
12228,12212,2,239
12221,12212,2,239
12218,12212,2,239
12217,12212,2,239
12216,12212,2,239
12215,12212,2,239
12207,12212,2,239
12206,12212,2,239
12205,12212,2,239
12204,12212,2,239
12203,12212,2,239
12202,12212,2,239
12201,12212,2,239
12199,12212,2,239
12198,12212,2,239
12197,12212,2,239
12196,12212,2,239
12195,12212,2,239
12223,12211,2,239
12224,12211,2,239
12225,12211,2,239
12226,12211,2,239
12227,12211,2,239
12228,12211,2,239
12221,12211,2,239
12218,12211,2,239
12217,12211,2,239
12216,12211,2,239
12215,12211,2,239
12207,12211,2,239
12206,12211,2,239
12205,12211,2,239
12204,12211,2,239
12203,12211,2,239
12202,12211,2,239
12201,12211,2,239
12199,12211,2,239
12198,12211,2,239
12197,12211,2,239
12196,12211,2,239
12195,12211,2,239
12223,12210,2,239
12224,12210,2,239
12225,12210,2,239
12226,12210,2,239
12227,12210,2,239
12228,12210,2,239
12221,12210,2,239
12218,12210,2,239
12217,12210,2,239
12216,12210,2,239
12215,12210,2,239
12207,12210,2,239
12206,12210,2,239
12205,12210,2,239
12204,12210,2,239
12203,12210,2,239
12202,12210,2,239
12201,12210,2,239
12199,12210,2,239
12198,12210,2,239
12197,12210,2,239
12196,12210,2,239
12195,12210,2,239
12223,12209,2,239
12224,12209,2,239
12225,12209,2,239
12226,12209,2,239
12227,12209,2,239
12228,12209,2,239
12221,12209,2,239
12218,12209,2,239
12217,12209,2,239
12216,12209,2,239
12215,12209,2,239
12207,12209,2,239
12206,12209,2,239
12205,12209,2,239
12204,12209,2,239
12203,12209,2,239
